propertyId,postalCode,typeOfProperty,subtypeOfProperty,price,typeOfSale,numberOfRooms,livingArea,equippedKitchen,furnished,openFire,garden,surfaceOfGood,numberOfFacades,swimmingPool,stateOfBuilding,terraceSurface,hasBasement,hasDisabledAccess,hasLift,livingRoomSurface,electricalInstallationCertificate,gScore,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,hasDoubleGlazing,epcScore,primaryEnergyConsumptionPerSqm,renovationObligation,cadastralIncome,parkingCountIndoor,parkingCountOutdoor
20407415,5620,1,1,179000,0,6,77.0,0,0,0,0,77.0,-1,0,-1,0,-1,-1,0,37,1,-1,0,-1,-1,-1,1,2,158,-1,-1,0,2
20407416,8300,0,14,1400000,0,3,0.0,-1,0,0,-1,937.0,-1,0,3,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0
20407427,9000,0,0,299000,0,7,130.0,-1,0,0,-1,72.0,-1,0,-1,0,-1,0,0,0,0,2,-1,0,0,0,-1,2,133,0,609,0,0
20407453,1410,1,1,420000,0,7,120.0,1,0,0,0,120.0,3,0,2,10,1,1,1,35,1,-1,0,0,0,0,1,2,-1,-1,2114,1,1
20407455,3650,1,1,293479,0,1,110.0,-1,0,0,15,110.0,3,0,-1,19,-1,0,0,25,-1,0,0,-1,1,0,1,-1,-1,-1,-1,0,1
20407474,1030,1,1,249000,0,4,89.0,1,0,0,0,89.0,3,0,-1,0,-1,-1,-1,0,-1,-1,0,0,0,0,1,6,331,-1,-1,0,0
20407568,1500,1,1,279000,0,6,97.0,-1,0,0,0,97.0,-1,0,1,9,-1,-1,1,31,-1,-1,3,-1,-1,-1,1,2,198,0,1145,0,0
20407603,1850,0,14,829000,0,6,201.0,3,0,0,-1,508.0,4,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0
20407604,1850,0,14,835000,0,5,201.0,-1,0,0,-1,532.0,4,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0
20407605,1850,0,14,859000,0,6,204.0,3,0,0,-1,588.0,4,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0
20407606,1850,0,14,865000,0,6,215.0,3,0,0,-1,544.0,4,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0
20407607,1850,0,14,819000,0,6,193.0,3,0,0,-1,520.0,4,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0
20407618,3300,1,1,280000,0,5,84.0,3,0,0,0,84.0,2,0,1,12,-1,1,1,41,1,-1,0,-1,-1,-1,1,1,99,0,-1,0,0
20407635,1080,1,18,195000,0,4,70.0,1,0,0,0,70.0,2,0,-1,15,1,-1,-1,37,-1,-1,0,0,0,0,0,-1,468,-1,-1,0,0
20407663,9500,0,0,215000,0,6,130.0,1,0,0,360,450.0,2,0,0,20,1,0,0,0,1,-1,0,0,0,0,1,3,241,0,342,0,0
20407681,8450,0,0,325000,0,10,184.0,5,0,0,50,92.0,3,0,2,40,1,1,0,0,1,-1,0,0,0,0,1,2,173,0,535,0,2
20407705,7784,0,0,435000,0,8,227.0,1,0,0,6000,6500.0,4,0,1,0,-1,0,0,16,-1,-1,1,-1,1,-1,1,3,231,-1,600,0,0
20407709,8300,1,19,530000,0,3,92.0,-1,0,0,14,92.0,-1,0,-1,11,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20407711,8300,1,1,415000,0,2,71.0,-1,0,0,0,71.0,-1,0,-1,6,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20407712,8300,1,19,550000,0,3,93.0,-1,0,0,0,93.0,-1,0,-1,6,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20407725,8600,1,1,286500,0,3,98.0,-1,0,0,0,98.0,2,0,2,73,-1,-1,1,0,-1,0,0,-1,-1,-1,1,1,-1,0,-1,14,0
20407772,8300,1,19,1290000,0,6,114.0,3,0,0,0,114.0,2,0,2,17,-1,1,1,0,-1,-1,0,-1,-1,-1,1,2,137,0,-1,1,0
20407778,2830,1,1,271000,0,7,0.0,-1,0,0,0,0.0,-1,0,1,16,-1,-1,1,43,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0
20407800,2830,1,1,236000,0,6,0.0,1,0,0,0,0.0,-1,0,1,7,-1,-1,1,36,1,-1,-1,0,1,0,1,-1,-1,-1,-1,0,0
20407821,8300,1,1,669000,0,1,93.0,-1,0,0,0,93.0,-1,0,1,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,3,390,0,-1,0,0
20407828,8300,1,1,899000,0,1,89.0,-1,0,0,0,89.0,-1,0,2,6,-1,1,1,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0
20407841,9900,0,0,379000,0,10,117.0,1,0,0,-1,275.0,-1,0,1,0,-1,0,0,0,1,2,-1,0,0,0,1,1,96,0,708,0,0
20407900,8930,1,1,600000,0,9,76.0,-1,0,0,0,76.0,-1,0,1,0,-1,-1,1,0,-1,0,-1,-1,-1,-1,1,2,151,0,2476,8,1
20407905,1180,0,0,495000,0,8,140.0,1,0,0,75,125.0,2,0,3,32,1,1,0,30,1,-1,0,-1,-1,-1,1,-1,779,-1,-1,0,0
20407947,8300,1,1,425000,0,2,71.0,-1,0,0,0,71.0,-1,0,-1,6,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20407965,4630,0,0,350000,0,4,142.0,1,0,0,-1,808.0,4,0,-1,0,-1,0,0,60,-1,-1,0,0,0,0,1,3,221,-1,810,1,2
20408052,8620,0,14,945000,0,14,304.0,1,0,0,-1,626.0,-1,0,1,0,1,0,0,0,1,2,0,0,0,0,1,3,272,0,1341,1,2
20408062,9600,0,0,305000,0,14,125.0,-1,0,0,-1,469.0,3,0,-1,20,1,0,0,38,1,0,0,0,0,0,1,-1,-1,-1,-1,0,0
20408064,9600,0,0,317500,0,14,125.0,-1,0,0,-1,379.0,3,0,-1,20,1,0,0,38,1,0,0,0,0,0,1,-1,-1,-1,-1,0,0
20408065,9700,0,0,450000,0,15,168.0,-1,0,0,-1,640.0,3,0,-1,0,-1,0,0,33,1,1,-1,1,1,0,-1,-1,-1,-1,-1,1,0
20408066,9700,0,0,435000,0,15,156.0,-1,0,0,-1,538.0,3,0,-1,0,-1,0,0,33,1,1,-1,1,1,0,-1,-1,-1,-1,-1,1,0
20408067,9700,0,0,435000,0,15,156.0,-1,0,0,-1,512.0,3,0,-1,0,-1,0,0,33,1,1,-1,1,1,0,-1,-1,-1,-1,-1,1,0
20408068,9700,0,0,430000,0,15,156.0,-1,0,0,-1,516.0,3,0,-1,0,-1,0,0,33,1,1,-1,1,1,0,-1,-1,-1,-1,-1,1,0
20408145,3300,1,1,268000,0,6,82.0,1,0,0,0,82.0,2,0,2,10,-1,0,1,15,1,0,0,-1,-1,-1,1,2,156,0,801,0,0
20408161,4837,1,1,149000,0,4,56.0,3,0,0,1,56.0,1,0,-1,0,-1,0,1,0,1,-1,1,0,0,0,1,2,928,-1,836,1,1
20408198,6120,0,0,250000,0,9,0.0,1,0,0,-1,-1.0,3,0,1,0,1,0,0,20,1,-1,0,0,-1,0,1,-1,704,-1,321,0,0
20408226,2018,1,1,499000,0,1,173.0,-1,0,0,0,173.0,-1,0,-1,0,-1,0,0,0,-1,2,-1,-1,-1,-1,0,3,211,0,1420,2,2
20408252,7170,0,0,129000,0,6,106.0,2,0,0,-1,120.0,3,0,0,0,1,0,0,21,-1,-1,0,-1,-1,-1,1,-1,909,-1,573,1,1
20408260,2000,1,1,295000,0,1,70.0,-1,0,0,0,70.0,-1,0,2,0,-1,0,0,0,-1,0,-1,-1,-1,-1,1,4,386,0,376,0,0
20408343,7910,0,0,220500,0,6,0.0,-1,0,0,-1,1032.0,-1,0,-1,0,-1,0,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,778,0,0
20408349,7100,1,1,229000,0,6,130.0,1,0,0,0,130.0,4,0,1,0,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,2,148,-1,1132,1,0
20408388,2100,1,1,219900,0,5,85.0,-1,0,0,0,85.0,2,0,-1,4,-1,0,0,26,0,0,0,0,0,0,1,2,200,-1,552,0,0
