id,subtype,bedroomCount,postCode,habitableSurface,hasDressingRoom,buildingCondition,buildingConstructionYear,facedeCount,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenType,landSurface,parkingCountOutdoor,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,terraceSurface,price,epc_kwh
20377554,309460,2,3115,88,0,337048,1967,3,0,0,0,336419,0,0,0,1,0,0,0,265000,225
20571327,309460,2,3115,76,0,337048,2008,3,0,0,0,336419,0,0,0,1,0,0,0,275000,75
20515089,309460,3,3115,153,0,337048,1969,3,0,0,0,336419,0,0,0,1,0,0,0,299000,225
20515048,466707,4,3115,119,0,337048,1969,3,0,0,0,336419,0,0,0,1,0,0,36,449000,225
20594170,347187,4,3115,174,0,395196,1980,2,0,0,0,422399,177,0,1,2,0,0,90,340000,225
20571326,347187,3,3115,143,0,337048,1930,3,0,0,0,336419,200,0,0,1,0,0,0,299000,400
11265060,309460,2,3115,111,0,395196,1980,2,0,0,0,336419,0,0,0,2,0,0,0,385000,150
20025675,309460,2,3115,111,0,395196,1980,2,0,0,0,336419,0,0,0,2,0,0,0,385000,150
20583297,398262,4,3115,300,0,266634,1980,3,0,0,0,270162,1228,2,0,2,0,1,0,380000,500
20583296,525692,4,3115,300,0,266634,1980,3,0,0,0,270162,1228,2,0,2,0,1,0,380000,500
20116867,309460,2,3115,76,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,349500,150
20664274,309460,2,3454,81,0,395196,2021,3,0,0,0,336419,0,0,0,1,0,0,0,399000,75
20059260,309460,2,3454,59,0,347917,2008,3,0,0,0,336419,0,0,0,1,0,0,0,248000,225
20434320,309460,3,3454,90,0,279630,1992,3,0,0,0,336419,0,0,0,1,0,0,0,279000,225
20309341,309460,2,3454,85,0,337048,1966,3,0,0,0,336419,0,0,0,1,0,0,0,279000,300
20551929,309460,2,3454,93,0,337048,2009,3,0,0,0,336419,0,0,0,1,0,0,0,425000,225
20551905,309460,2,3454,93,0,337048,2009,3,0,0,0,336419,0,0,0,1,0,0,0,425000,225
20621643,309460,2,3454,108,0,395196,2009,1,0,0,0,336419,0,0,0,2,0,0,10,375000,150
20647052,309460,1,3454,26,0,395196,1974,3,0,0,0,336419,0,0,0,1,0,0,0,89000,400
20285498,309460,4,3454,171,0,337048,1964,3,0,0,0,336419,0,1,0,2,0,0,0,495000,225
20612114,175424,3,3454,36,0,347917,1993,3,0,0,0,336419,0,1,0,1,0,0,0,174000,225
20625105,347187,3,3454,318,0,395196,1930,2,0,0,0,422399,290,0,0,4,0,0,40,448800,225
20500185,309460,2,3454,42,0,279630,1974,3,0,0,0,336419,0,1,0,1,0,0,0,79000,225
20265068,309460,2,3454,99,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,198500,150
20537144,309460,2,3454,90,0,337048,1990,3,0,0,0,336419,0,0,0,1,0,0,0,295000,150
20486476,309460,2,3454,80,0,337048,1980,3,0,0,0,336419,0,1,0,1,0,0,0,365000,150
20541334,347187,3,3454,137,0,347917,1980,3,0,1,0,336419,281,1,0,2,0,0,0,549000,75
20640832,306182,1,3454,32,0,337048,1959,3,0,0,0,336419,0,0,0,1,0,0,0,69000,500
20640205,309460,2,3454,47,0,395196,1974,3,0,0,0,336419,0,0,0,1,0,0,0,125000,225
20619434,309460,3,3454,102,0,279630,1981,3,0,0,0,336419,0,1,0,2,0,0,15,745000,150
20637572,309460,2,3454,61,0,337048,1968,3,0,0,0,336419,0,1,0,1,0,0,0,145000,150
20629408,347187,5,3454,310,0,395196,1995,4,1,1,0,336419,600,0,0,2,0,1,0,799000,75
20641953,309460,1,3454,32,0,395196,1959,3,0,0,0,336419,0,0,0,1,0,0,0,79500,400
20543612,309460,3,3454,98,0,337048,2006,3,0,0,0,336419,0,0,0,2,0,0,0,349000,150
20611171,358235,5,3454,195,0,279630,1964,3,0,0,0,336419,140,1,0,3,0,0,0,364000,225
20610852,347187,3,3454,140,0,279630,1963,3,0,0,0,336419,166,0,0,1,0,0,0,375000,300
20265019,306182,1,3454,46,0,337048,1995,3,0,0,0,336419,0,0,0,1,0,0,0,198500,225
20486564,309460,1,3454,53,0,337048,2005,3,0,0,0,336419,0,0,0,1,0,0,0,229000,300
20502993,309460,2,3454,53,0,337048,1975,3,0,0,0,336419,0,0,0,1,0,0,0,105000,300
20612790,347187,5,3454,212,0,279630,1987,4,0,0,0,336419,807,1,1,3,0,0,0,724000,300
20231932,309460,1,3454,30,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,70000,500
20576469,309460,2,3454,57,0,337048,1998,3,0,0,0,336419,0,0,0,1,0,0,0,175000,300
20600023,347187,3,3454,281,0,395196,1959,3,1,1,0,336419,153,1,0,2,0,0,0,535000,150
20609062,309460,3,3454,82,0,395196,1952,3,0,0,0,336419,0,0,0,1,0,0,0,259000,225
11106457,347187,3,3454,77,0,337048,2001,3,0,0,0,336419,0,1,0,1,0,0,0,249000,500
20299939,309460,2,3454,79,0,337048,2023,3,0,0,0,336419,0,0,0,1,0,0,0,269000,225
20299940,309460,2,3454,92,0,337048,2023,3,0,0,0,336419,0,0,0,1,0,0,0,299000,225
20428771,359252,2,3454,78,0,337048,2009,3,0,0,0,336419,0,0,0,1,0,0,0,286000,300
20622433,306182,1,3454,30,0,337048,1959,3,0,0,0,336419,0,0,0,1,0,0,0,85000,400
20454856,347187,5,3454,192,0,337048,1961,4,0,0,0,336419,487,1,1,2,0,0,0,798000,400
20621603,309460,2,3454,66,0,266634,1968,3,0,0,0,336419,0,0,0,1,0,0,0,99000,300
20102641,347187,2,3454,85,0,337048,2001,3,0,0,0,336419,206,1,0,2,0,0,0,237000,500
20534464,347187,4,3454,177,0,337048,1938,4,0,0,0,336419,75,0,0,2,0,0,0,365000,225
20563828,347187,3,3454,234,0,395196,1965,4,0,1,0,336419,480,0,1,3,0,0,0,629000,225
20514488,347187,3,3454,138,0,395196,1984,2,0,0,0,336419,30,0,0,1,0,0,0,479000,150
20648040,309460,2,3454,93,0,337048,2026,3,1,1,0,336419,0,0,0,1,0,0,18,450000,225
11024172,309460,2,3454,107,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,459000,225
11024174,309460,2,3454,120,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,495000,225
20207105,309460,3,3454,130,0,337048,2015,3,0,0,0,336419,0,1,0,2,0,0,0,595000,75
